Case_ID,Timestamp,Type,Sensor,Label,Activity_ID
2022-09-02,2022-09-02T08:10:52.403228000,PresenceSensor,Door_Y,Y,0
2022-09-02,2022-09-02T08:10:53.610334781,FloorSensor,Sens3_Y,Y,0
2022-09-02,2022-09-02T08:13:21.438761905,FloorSensor,Sens7_Y,Y,0
2022-09-02,2022-09-02T08:13:24.267189029,FloorSensor,Sens5_Y,Y,0
2022-09-02,2022-09-02T08:13:29.302722934,FloorSensor,Sens1_Y,Y,0
2022-09-02,2022-09-02T08:16:10.509829715,FloorSensor,Sens2_Y,Y,0
2022-09-02,2022-09-02T08:20:28.752470401,FloorSensor,Sens5_Y,Y,0
2022-09-02,2022-09-02T08:20:30.166683963,PresenceSensor,Door_Y,Y,0
2022-09-02,2022-09-02T08:20:32.373790744,PresenceSensor,Door_X,X,1
2022-09-02,2022-09-02T08:20:33.580897525,FloorSensor,Sens4_X,X,1
2022-09-02,2022-09-02T08:20:36.409324649,FloorSensor,Sens1_X,X,1
2022-09-02,2022-09-02T08:27:40.859072116,FloorSensor,Sens8_X,X,1
2022-09-02,2022-09-02T08:30:06.480392459,FloorSensor,Sens4_X,X,1
2022-09-02,2022-09-02T08:30:08.687499240,FloorSensor,Sens2_X,X,1
2022-09-03,2022-09-03T08:08:01.607427000,PresenceSensor,Door_X,X,1
2022-09-03,2022-09-03T08:08:02.814533781,FloorSensor,Sens6_X,X,1
2022-09-03,2022-09-03T08:08:05.021640562,FloorSensor,Sens8_X,X,1
2022-09-03,2022-09-03T08:12:52.228747343,FloorSensor,Sens7_X,X,1
2022-09-03,2022-09-03T08:20:02.678494810,FloorSensor,Sens2_X,X,1
2022-09-03,2022-09-03T08:20:05.299815153,FloorSensor,Sens4_X,X,1
2022-09-03,2022-09-03T08:20:06.714028715,PresenceSensor,Door_X,X,1
2022-09-03,2022-09-03T08:20:08.921135496,PresenceSensor,Door_Y,Y,2
2022-09-03,2022-09-03T08:20:10.128242277,FloorSensor,Sens5_Y,Y,2
2022-09-03,2022-09-03T08:21:54.749562620,FloorSensor,Sens6_Y,Y,2
2022-09-03,2022-09-03T08:21:56.749562620,FloorSensor,Sens4_Y,Y,2
2022-09-03,2022-09-03T08:22:58.749562620,FloorSensor,Sens4_Y,Y,2
2022-09-03,2022-09-03T08:23:01.370882963,FloorSensor,Sens5_Y,Y,2
2022-09-03,2022-09-03T08:23:04.199310087,FloorSensor,Sens7_Y,Y,2
2022-09-03,2022-09-03T08:25:39.234843992,FloorSensor,Sens5_Y,Y,2
2022-09-03,2022-09-03T08:25:41.234843992,FloorSensor,Sens3_Y,Y,2
2022-09-03,2022-09-03T08:25:43.234843992,FloorSensor,Sens1_Y,Y,2
2022-09-04,2022-09-04T08:16:27.183020000,PresenceSensor,Door_Y,Y,2
2022-09-04,2022-09-04T08:16:28.390126781,FloorSensor,Sens3_Y,Y,2
2022-09-04,2022-09-04T08:19:31.875408153,FloorSensor,Sens5_Y,Y,2
2022-09-04,2022-09-04T08:20:38.703835277,FloorSensor,Sens8_Y,Y,2
2022-09-04,2022-09-04T08:22:14.118048839,FloorSensor,Sens5_Y,Y,2
2022-09-04,2022-09-04T08:22:15.532262401,PresenceSensor,Door_Y,Y,2
2022-09-04,2022-09-04T08:22:17.739369182,PresenceSensor,Door_X,X,3
2022-09-04,2022-09-04T08:22:18.946475963,FloorSensor,Sens4_X,X,3
2022-09-04,2022-09-04T08:22:21.774903087,FloorSensor,Sens1_X,X,3
2022-09-04,2022-09-04T08:25:14.603330211,FloorSensor,Sens1_X,X,3
2022-09-04,2022-09-04T08:25:17.431757335,FloorSensor,Sens4_X,X,3
2022-09-04,2022-09-04T08:25:22.467291240,FloorSensor,Sens8_X,X,3
2022-09-04,2022-09-04T08:27:43.088611583,FloorSensor,Sens6_X,X,3
2022-09-04,2022-09-04T08:29:17.917038707,FloorSensor,Sens3_X,X,3
2022-09-04,2022-09-04T08:32:17.952572612,FloorSensor,Sens2_X,X,3
2022-09-04,2022-09-04T08:32:20.573892955,FloorSensor,Sens3_X,X,3
2022-09-04,2022-09-04T08:32:25.402320079,FloorSensor,Sens7_X,X,3
2022-09-05,2022-09-05T08:19:51.161540000,PresenceSensor,Door_X,X,3
2022-09-05,2022-09-05T08:19:52.368646781,FloorSensor,Sens4_X,X,3
2022-09-05,2022-09-05T08:22:12.611287467,FloorSensor,Sens1_X,X,3
2022-09-05,2022-09-05T08:22:16.232607810,FloorSensor,Sens4_X,X,3
