Start Time,End Time,door_A,sens3_A,sens4_A,sens2_A,sens1_A,door_B,sens4_B,sens3_B,sens2_B,sens1_B,door_C,sens4_C,sens2_C,sens3_C,sense1_C,door_D,sens1_D,sens3_D,sens2_D,sens4_D,Label
2022-09-02 08:03:44.275852343,2022-09-02 08:03:49.518493029,1,1,,,,,,,,,,,,,,,,,,,A
2022-09-02 08:04:19.518493029,2022-09-02 08:04:19.518493029,,1,,,,,,,,,,,,,,,,,,,A
2022-09-02 08:04:49.518493029,2022-09-02 08:04:55.554026934,,1,1,,,,,,,,,,,,,,,,,,A
2022-09-02 08:05:25.554026934,2022-09-02 08:05:25.554026934,,,1,,,,,,,,,,,,,,,,,,A
2022-09-02 08:05:55.554026934,2022-09-02 08:05:55.554026934,,,1,,,,,,,,,,,,,,,,,,A
2022-09-02 08:06:25.554026934,2022-09-02 08:06:25.554026934,,,1,,,,,,,,,,,,,,,,,,A
2022-09-02 08:06:55.554026934,2022-09-02 08:06:55.554026934,,,1,,,,,,,,,,,,,,,,,,A
2022-09-02 08:07:25.554026934,2022-09-02 08:07:25.554026934,,,1,,,,,,,,,,,,,,,,,,A
2022-09-02 08:07:37.968240496,2022-09-02 08:07:37.968240496,,,,1,,,,,,,,,,,,,,,,,A
2022-09-02 08:09:35.382454058,2022-09-02 08:09:39.796667620,,,,1,1,,,,,,,,,,,,,,,,A
2022-09-02 08:12:07.417987963,2022-09-02 08:12:19.110376116,,,1,,1,1,,,,,,,,,,,,,,,A
2022-09-02 08:15:06.938803240,2022-09-02 08:15:10.767230364,,,,,,,1,1,,,,,,,,,,,,,B
2022-09-02 08:15:40.767230364,2022-09-02 08:15:40.767230364,,,,,,,,1,,,,,,,,,,,,,B
2022-09-02 08:16:10.767230364,2022-09-02 08:16:10.767230364,,,,,,,,1,,,,,,,,,,,,,B
2022-09-02 08:16:41.631191393,2022-09-02 08:16:41.631191393,,,,,,,,,1,,,,,,,,,,,,B
2022-09-02 08:17:11.631191393,2022-09-02 08:17:11.631191393,,,,,,,,,1,,,,,,,,,,,,B
2022-09-02 08:17:41.631191393,2022-09-02 08:17:41.631191393,,,,,,,,,1,,,,,,,,,,,,B
2022-09-02 08:18:11.631191393,2022-09-02 08:18:18.288045641,,,,,,,,,1,1,,,,,,,,,,,B
2022-09-02 08:18:48.288045641,2022-09-02 08:18:48.288045641,,,,,,,,,,1,,,,,,,,,,,B
2022-09-02 08:19:18.288045641,2022-09-02 08:19:18.288045641,,,,,,,,,,1,,,,,,,,,,,B
2022-09-02 08:19:48.288045641,2022-09-02 08:19:48.288045641,,,,,,,,,,1,,,,,,,,,,,B
2022-09-02 08:20:18.288045641,2022-09-02 08:20:18.288045641,,,,,,,,,,1,,,,,,,,,,,B
2022-09-02 08:20:48.152006670,2022-09-02 08:20:48.152006670,,,,,,,,,,,1,,,,,,,,,,C
2022-09-02 08:23:26.152006670,2022-09-02 08:23:26.152006670,,,,,,,,,,,,1,,,,,,,,,C
2022-09-02 08:23:31.187540575,2022-09-02 08:23:31.187540575,,,,,,,,,,,,,1,,,,,,,,C
2022-09-02 08:24:01.187540575,2022-09-02 08:24:01.187540575,,,,,,,,,,,,,1,,,,,,,,C
2022-09-02 08:24:31.187540575,2022-09-02 08:24:31.187540575,,,,,,,,,,,,,1,,,,,,,,C
2022-09-02 08:25:01.187540575,2022-09-02 08:25:11.430181261,,,,,,,,,,,,,1,1,,,,,,,C
2022-09-02 08:25:41.430181261,2022-09-02 08:25:41.430181261,,,,,,,,,,,,,,1,,,,,,,C
2022-09-02 08:26:11.430181261,2022-09-02 08:26:11.430181261,,,,,,,,,,,,,,1,,,,,,,C
2022-09-02 08:26:32.672821947,2022-09-02 08:26:35.087035509,,,,,,,,,,,,1,,,1,,,,,,C
2022-09-02 08:27:05.087035509,2022-09-02 08:27:05.087035509,,,,,,,,,,,,,,,1,,,,,,C
