Start time,End time,ID
25/02/2008 00:22,25/02/2008 09:34,10
25/02/2008 09:37,25/02/2008 09:38,4
25/02/2008 09:49,25/02/2008 09:53,13
25/02/2008 10:02,25/02/2008 10:12,5
25/02/2008 10:19,25/02/2008 16:55,1
25/02/2008 17:00,25/02/2008 17:01,4 
25/02/2008 17:54,25/02/2008 17:55,17
25/02/2008 18:31,25/02/2008 18:33,4
25/02/2008 19:40,25/02/2008 20:22,15
25/02/2008 20:23,25/02/2008 20:23,17
25/02/2008 21:51,25/02/2008 21:52,4
25/02/2008 23:21,26/02/2008 09:15,10
25/02/2008 23:28,25/02/2008 23:29,4
26/02/2008 00:39,26/02/2008 00:39,4
26/02/2008 03:13,26/02/2008 03:14,4
26/02/2008 08:35,26/02/2008 08:36,4
26/02/2008 09:15,26/02/2008 09:19,4
26/02/2008 09:26,26/02/2008 09:29,13
26/02/2008 09:48,26/02/2008 09:58,5
26/02/2008 10:05,26/02/2008 20:34,1
26/02/2008 21:02,26/02/2008 21:04,4
26/02/2008 21:39,26/02/2008 21:40,17
26/02/2008 22:56,26/02/2008 22:58,4
26/02/2008 23:01,27/02/2008 08:00,10
27/02/2008 05:29,27/02/2008 05:30,4
27/02/2008 08:01,27/02/2008 08:02,13
27/02/2008 08:13,27/02/2008 08:16,4
27/02/2008 08:16,27/02/2008 08:27,5
27/02/2008 08:34,27/02/2008 18:59,1
27/02/2008 18:59,27/02/2008 19:19,15
27/02/2008 19:19,27/02/2008 19:20,17
27/02/2008 23:03,27/02/2008 23:05,4
28/02/2008 00:11,28/02/2008 00:13,4
28/02/2008 00:16,28/02/2008 09:48,10
28/02/2008 07:06,28/02/2008 07:07,4
28/02/2008 09:48,28/02/2008 09:49,4
28/02/2008 09:49,28/02/2008 09:51,13
28/02/2008 10:35,28/02/2008 10:37,4
28/02/2008 10:38,28/02/2008 10:49,5
28/02/2008 10:58,28/02/2008 18:34,1
28/02/2008 18:48,28/02/2008 18:48,4
28/02/2008 18:53,28/02/2008 21:35,1
28/02/2008 21:40,28/02/2008 21:42,4
28/02/2008 23:23,28/02/2008 23:24,4
28/02/2008 23:24,29/02/2008 10:20,10
29/02/2008 08:03,29/02/2008 08:04,4
29/02/2008 10:22,29/02/2008 10:26,13
29/02/2008 10:30,29/02/2008 10:30,4
29/02/2008 10:30,29/02/2008 10:40,5
