Start time,End time,Hall-Bedroom door,Hall-Bathroom door,ToiletFlush,Plates cupboard,Fridge,Microwave,Groceries Cupboard,Hall-Toilet door,Frontdoor,Pans Cupboard,Freezer,Cups cupboard,Dishwasher,Washingmachine,Label,Label_ID
2008-02-25 09:33:00,2008-02-25 09:33:00,1,,,,,,,,,,,,,,go to bed,10
2008-02-25 09:37:00,2008-02-25 09:37:00,,1,,,,,,,,,,,,,use toilet,4
2008-02-25 09:37:00,2008-02-25 09:37:00,,1,1,,,,,,,,,,,,use toilet,4
2008-02-25 09:37:00,2008-02-25 09:37:00,,1,2,,,,,,,,,,,,use toilet,4
2008-02-25 09:37:00,2008-02-25 09:38:00,,2,2,,,,,,,,,,,,use toilet,4
2008-02-25 09:49:00,2008-02-25 09:49:00,,,,1,,,,,,,,,,,prepare Breakfast,13
2008-02-25 09:49:00,2008-02-25 09:49:00,,,,2,,,,,,,,,,,prepare Breakfast,13
2008-02-25 09:49:00,2008-02-25 09:49:00,,,,2,1,,,,,,,,,,prepare Breakfast,13
2008-02-25 09:49:00,2008-02-25 09:49:00,,,,2,2,,,,,,,,,,prepare Breakfast,13
2008-02-25 09:49:00,2008-02-25 09:50:00,,,,2,2,1,,,,,,,,,prepare Breakfast,13
2008-02-25 09:50:00,2008-02-25 09:50:00,,,,2,2,1,1,,,,,,,,prepare Breakfast,13
2008-02-25 09:52:00,2008-02-25 09:53:00,,,,2,2,2,1,,,,,,,,prepare Breakfast,13
2008-02-25 09:53:00,2008-02-25 09:53:00,,,,2,2,2,2,,,,,,,,prepare Breakfast,13
2008-02-25 10:02:00,2008-02-25 10:02:00,,,,,,,,1,,,,,,,take shower,5
2008-02-25 10:10:00,2008-02-25 10:10:00,,,,,,,,2,,,,,,,take shower,5
2008-02-25 10:19:00,2008-02-25 10:19:00,,,,,,,,,1,,,,,,leave house,1
2008-02-26 08:35:00,2008-02-26 08:35:00,1,,,,,,,,,,,,,,use toilet,4
2008-02-26 08:36:00,2008-02-26 08:36:00,1,1,,,,,,,,,,,,,use toilet,4
2008-02-26 08:36:00,2008-02-26 08:36:00,2,1,,,,,,,,,,,,,use toilet,4
2008-02-26 08:36:00,2008-02-26 08:36:00,3,1,,,,,,,,,,,,,use toilet,4
2008-02-26 08:36:00,2008-02-26 08:36:00,3,2,,,,,,,,,,,,,use toilet,4
2008-02-26 09:15:00,2008-02-26 09:15:00,1,,,,,,,,,,,,,,use toilet,4
2008-02-26 09:15:00,2008-02-26 09:15:00,1,1,,,,,,,,,,,,,use toilet,4
2008-02-26 09:18:00,2008-02-26 09:18:00,1,2,,,,,,,,,,,,,use toilet,4
2008-02-26 09:18:00,2008-02-26 09:18:00,1,2,1,,,,,,,,,,,,use toilet,4
2008-02-26 09:26:00,2008-02-26 09:26:00,,,,1,,,,,,,,,,,prepare Breakfast,13
2008-02-26 09:26:00,2008-02-26 09:26:00,,,,1,,,1,,,,,,,,prepare Breakfast,13
2008-02-26 09:27:00,2008-02-26 09:27:00,,,,1,,,2,,,,,,,,prepare Breakfast,13
2008-02-26 09:28:00,2008-02-26 09:28:00,,,,1,1,,2,,,,,,,,prepare Breakfast,13
2008-02-26 09:28:00,2008-02-26 09:29:00,,,,1,2,,2,,,,,,,,prepare Breakfast,13
2008-02-26 09:48:00,2008-02-26 09:48:00,,,,,,,,1,,,,,,,take shower,5
2008-02-26 09:48:00,2008-02-26 09:48:00,,,,,,,,2,,,,,,,take shower,5
2008-02-26 09:58:00,2008-02-26 09:58:00,,,,,,,,3,,,,,,,take shower,5
2008-02-26 10:06:00,2008-02-26 10:06:00,,,,,,,,,1,,,,,,leave house,1
2008-02-27 08:01:00,2008-02-27 08:01:00,,,,1,,,,,,,,,,,prepare Breakfast,13
2008-02-27 08:01:00,2008-02-27 08:01:00,,,,1,,,1,,,,,,,,prepare Breakfast,13
2008-02-27 08:01:00,2008-02-27 08:01:00,,,,1,1,,1,,,,,,,,prepare Breakfast,13
2008-02-27 08:01:00,2008-02-27 08:02:00,,,,1,2,,1,,,,,,,,prepare Breakfast,13
2008-02-27 08:13:00,2008-02-27 08:13:00,,1,,,,,,,,,,,,,use toilet,4
2008-02-27 08:13:00,2008-02-27 08:14:00,,2,,,,,,,,,,,,,use toilet,4
2008-02-27 08:15:00,2008-02-27 08:15:00,,2,1,,,,,,,,,,,,use toilet,4
2008-02-27 08:15:00,2008-02-27 08:15:00,,3,1,,,,,,,,,,,,use toilet,4
2008-02-27 08:26:00,2008-02-27 08:26:00,,,,,,,,1,,,,,,,take shower,5
2008-02-27 08:26:00,2008-02-27 08:26:00,,,,,,,,2,,,,,,,take shower,5
2008-02-27 08:34:00,2008-02-27 08:34:00,,,,,,,,,1,,,,,,leave house,1
2008-02-28 09:48:00,2008-02-28 09:48:00,1,,,,,,,,,,,,,,use toilet,4
