Start time,End time,Hall-Bedroom door,Hall-Bathroom door,ToiletFlush,Plates cupboard,Fridge,Microwave,Groceries Cupboard,Hall-Toilet door,Frontdoor,Cups cupboard,Pans Cupboard,Freezer,Dishwasher,Washingmachine,Label,Label_ID
2008-02-25 09:33:00,2008-02-25 09:33:00,1,,,,,,,,,,,,,,go to bed,10
2008-02-25 09:33:00,2008-02-25 09:37:00,1,1,,,,,,,,,,,,,go to bed,10
2008-02-25 09:33:00,2008-02-25 09:37:00,1,1,1,,,,,,,,,,,,use toilet,4
2008-02-25 09:33:00,2008-02-25 09:37:00,1,1,2,,,,,,,,,,,,use toilet,4
2008-02-25 09:33:00,2008-02-25 09:38:00,1,2,2,,,,,,,,,,,,use toilet,4
2008-02-25 09:33:00,2008-02-25 09:49:00,1,2,2,1,,,,,,,,,,,use toilet,4
2008-02-25 09:33:00,2008-02-25 09:49:00,1,2,2,2,,,,,,,,,,,use toilet,4
2008-02-25 09:37:00,2008-02-25 09:49:00,,2,2,2,1,,,,,,,,,,use toilet,4
2008-02-25 09:37:00,2008-02-25 09:49:00,,1,2,2,2,,,,,,,,,,prepare Breakfast,13
2008-02-25 09:37:00,2008-02-25 09:50:00,,1,1,2,2,1,,,,,,,,,prepare Breakfast,13
2008-02-25 09:37:00,2008-02-25 09:50:00,,1,,2,2,1,1,,,,,,,,prepare Breakfast,13
2008-02-25 09:49:00,2008-02-25 09:53:00,,,,2,2,2,1,,,,,,,,prepare Breakfast,13
2008-02-25 09:49:00,2008-02-25 09:53:00,,,,1,2,2,2,,,,,,,,prepare Breakfast,13
2008-02-25 09:49:00,2008-02-25 10:02:00,,,,,2,2,2,1,,,,,,,prepare Breakfast,13
2008-02-25 09:49:00,2008-02-25 10:10:00,,,,,1,2,2,2,,,,,,,prepare Breakfast,13
2008-02-25 09:49:00,2008-02-25 10:19:00,,,,,,2,2,2,1,,,,,,prepare Breakfast,13
2008-02-25 09:50:00,2008-02-25 16:54:00,,,,,,1,2,2,2,,,,,,prepare Breakfast,13
2008-02-25 09:52:00,2008-02-25 17:00:00,,1,,,,1,1,2,2,,,,,,prepare Breakfast,13
2008-02-25 09:53:00,2008-02-25 17:01:00,,1,1,,,,1,2,2,,,,,,take shower,5
2008-02-25 10:02:00,2008-02-25 17:01:00,,2,1,,,,,2,2,,,,,,use toilet,4
2008-02-25 10:10:00,2008-02-25 17:55:00,,2,1,,1,,,1,2,,,,,,use toilet,4
2008-02-25 10:19:00,2008-02-25 17:55:00,,2,1,,2,,,,2,,,,,,use toilet,4
2008-02-25 16:54:00,2008-02-25 17:55:00,,2,1,,2,,,,1,1,,,,,use toilet,4
2008-02-25 17:00:00,2008-02-25 17:55:00,,2,1,,2,,,,,2,,,,,get drink,17
2008-02-25 17:01:00,2008-02-25 17:55:00,,1,1,,2,,,,,3,,,,,get drink,17
2008-02-25 17:01:00,2008-02-25 17:55:00,,1,,,3,,,,,3,,,,,get drink,17
2008-02-25 17:55:00,2008-02-25 17:55:00,,,,,4,,,,,3,,,,,get drink,17
2008-02-25 17:55:00,2008-02-25 18:32:00,,1,,,3,,,,,3,,,,,get drink,17
2008-02-25 17:55:00,2008-02-25 18:32:00,,2,,,2,,,,,3,,,,,get drink,17
2008-02-25 17:55:00,2008-02-25 18:33:00,,2,1,,2,,,,,2,,,,,get drink,17
2008-02-25 17:55:00,2008-02-25 18:33:00,,3,1,,2,,,,,1,,,,,use toilet,4
2008-02-25 17:55:00,2008-02-25 19:40:00,,3,1,,2,,1,,,,,,,,use toilet,4
2008-02-25 17:55:00,2008-02-25 19:40:00,,3,1,,2,,1,,,,,,,,use toilet,4
2008-02-25 18:31:00,2008-02-25 19:41:00,,3,1,,2,,1,,,,,,,,use toilet,4
2008-02-25 18:32:00,2008-02-25 19:41:00,,2,1,,3,,1,,,,,,,,prepare Dinner,15
2008-02-25 18:33:00,2008-02-25 19:41:00,,1,1,,4,,1,,,,,,,,prepare Dinner,15
2008-02-25 18:33:00,2008-02-25 19:41:00,,1,,,5,,1,,,,,,,,prepare Dinner,15
2008-02-25 19:40:00,2008-02-25 19:43:00,,,,,5,,2,,,,,,,,prepare Dinner,15
2008-02-25 19:40:00,2008-02-25 19:47:00,,,,,6,,1,,,,,,,,prepare Dinner,15
2008-02-25 19:41:00,2008-02-25 19:54:00,,,,1,5,,1,,,,,,,,prepare Dinner,15
2008-02-25 19:41:00,2008-02-25 19:56:00,,,,1,4,,1,,,,1,,,,prepare Dinner,15
2008-02-25 19:41:00,2008-02-25 19:56:00,,,,1,3,,1,,,1,1,,,,prepare Dinner,15
2008-02-25 19:41:00,2008-02-25 19:56:00,,,,1,2,,1,,,2,1,,,,prepare Dinner,15
2008-02-25 19:41:00,2008-02-25 19:57:00,,,,1,1,,1,,,2,1,1,,,prepare Dinner,15
2008-02-25 19:47:00,2008-02-25 20:00:00,,,,1,2,,,,,2,1,1,,,prepare Dinner,15
2008-02-25 19:54:00,2008-02-25 20:00:00,,,,1,2,,,,,2,1,1,,,prepare Dinner,15
2008-02-25 19:56:00,2008-02-25 20:01:00,,,,,3,,,,,2,1,1,,,prepare Dinner,15
